Subject,Model,Test MSE,Test RMSE,Test MAE,Test R2
1,ARIMA,0.9975945499329919,0.9987965508215334,0.8286336428137389,-0.031228223504304653
1,SARIMA,0.00017531660811383618,0.013240717809614258,0.010399475449171634,0.9997995768725917
3,ARIMA,1.166724211275684,1.0801500873840097,0.9388460832677051,0.04899168435722001
3,SARIMA,0.00012361424639204237,0.01111819438542259,0.008439413077456402,0.9998763440345233
4,ARIMA,0.9776402823324662,0.988756937944036,0.7968886375496813,0.07686679769227589
4,SARIMA,9.371390242607208e-05,0.009680594115346025,0.008148728919600267,0.9999151685553673
5,ARIMA,0.8091461360870393,0.8995255060791991,0.687316484724725,0.018365240394598525
5,SARIMA,0.00016817050450612653,0.01296805708292983,0.010558999474721704,0.9998512765172192
6,ARIMA,1.074294516966729,1.0364817977015945,0.8631752523213023,0.057574455873841135
6,SARIMA,0.00022162972418606023,0.014887233597484128,0.011873127511082973,0.9997952835072812
7,ARIMA,1.1702030600158249,1.081759243092392,0.8442606093014411,0.047052022514480596
7,SARIMA,0.0004678545763979569,0.02162994628744965,0.016435821768535915,0.9994407836219341
8,ARIMA,0.886117683696383,0.9413382408552109,0.7831640254480767,-0.014919721857257429
8,SARIMA,0.00017508009863729376,0.013231783652905369,0.010435144324021104,0.9997900477660986
11,ARIMA,0.9802271437485732,0.9900642119320208,0.8602941387225955,0.036996203828973506
11,SARIMA,0.00011703446114912148,0.010818246676292859,0.00865345613036723,0.9998799072966537
