Subject,Model,Test MSE,Test RMSE,Test MAE,Test R2
1,Linear Regression,0.3141275738013587,0.5604708500906703,0.41678695363798957,0.6835951510119682
2,Linear Regression,0.5349592141150529,0.7314090607280258,0.5921030181437257,0.4653498765763294
3,Linear Regression,0.36456770120577014,0.6037944196543805,0.4818443523573041,0.6367494287984847
5,Linear Regression,0.7803752336745866,0.8833884953261428,0.7046859889023105,0.2181715081327148
6,Linear Regression,0.9218213855375286,0.9601152980436926,0.7645352113216012,0.08386213617466143
7,Linear Regression,0.7682306425869154,0.8764876739503616,0.6908806444299269,0.22956754466722618
8,Linear Regression,0.20984231695232275,0.4580854908773282,0.3157026795928209,0.7945517311352934
11,Linear Regression,0.2810357872238353,0.5301280856772591,0.4155205973668212,0.7143040495868174
