Subject,Model,Test MSE,Test RMSE,Test MAE,Test R2
1,Linear Regression,0.9936252338766157,0.9968075209771522,0.8399885004031635,0.010145306595418235
3,Linear Regression,0.9909249339436306,0.9954521253900815,0.8338034387479907,0.01510016050495655
4,Linear Regression,1.01140841496914,1.005688030638299,0.8106312043764455,0.0015132931727583898
5,Linear Regression,0.9760635346225838,0.987959277815935,0.7710908108421369,0.020732983578199082
6,Linear Regression,0.9696829136385188,0.9847247908113813,0.8253312853129683,0.021165884440719207
7,Linear Regression,0.9648538736331601,0.9822697560411601,0.7990657747329915,0.02600765413852979
8,Linear Regression,0.9576437264773651,0.978592727582504,0.8226524078818266,0.03773898978926249
11,Linear Regression,0.9960611795279649,0.9980286466469612,0.8913036241480978,0.012765792710853208
