0.9467,0.0365,0.0000
0.7116,0.2761,1.0000
0.4995,0.4920,2.0000
0.4227,0.5701,3.0000
0.3973,0.5959,4.0000
0.3711,0.6225,5.0000
0.3567,0.6374,6.0000
0.3343,0.6600,7.0000
0.3299,0.6645,8.0000
0.2890,0.7060,9.0000
0.2694,0.7261,10.0000
0.2499,0.7459,11.0000
0.2410,0.7549,12.0000
0.2344,0.7615,13.0000
0.2287,0.7672,14.0000
0.2130,0.7834,15.0000
0.1968,0.7998,16.0000
0.2126,0.7838,17.0000
0.1939,0.8029,18.0000
0.1849,0.8120,19.0000
0.1809,0.8160,20.0000
0.1725,0.8245,21.0000
0.1582,0.8391,22.0000
0.1564,0.8409,23.0000
0.1558,0.8416,24.0000
0.1544,0.8430,25.0000
0.1541,0.8433,26.0000
0.1529,0.8445,27.0000
0.1538,0.8435,28.0000
0.1514,0.8460,29.0000
0.1505,0.8469,30.0000
0.1541,0.8431,31.0000
0.1532,0.8442,32.0000
0.1487,0.8488,33.0000
0.1486,0.8488,34.0000
0.1489,0.8485,35.0000
0.1485,0.8490,36.0000
0.1483,0.8492,37.0000
0.1482,0.8493,38.0000
0.1484,0.8491,39.0000
0.1483,0.8491,40.0000
0.1483,0.8492,41.0000
0.1481,0.8494,42.0000
0.1480,0.8493,43.0000
0.1479,0.8496,44.0000
0.1481,0.8493,45.0000
0.1483,0.8492,46.0000
0.1481,0.8493,47.0000
0.1481,0.8494,48.0000
0.1476,0.8499,49.0000
